Species name & GenBank accession #	Clade assignment
CAraX_NRRA_isolate_California_Ma	Cercozoa
EU567267_clone_sm27_Vampy	Cercozoa
AY605200_clone_Sey055_Vampy	Cercozoa
FJ157330_clone_kor11090415_Vampy	Cercozoa
AY179971_clone_CCI78_Vampy	Cercozoa
EU567269_clone_T11_Vampy	Cercozoa
AB622340_clone_K9MAY2010_Vampy	Cercozoa
EU567268_clone_op14_Vampy	Cercozoa
AY620292_clone_4_1_6_Vampy	Cercozoa
EU567294_Arachnula_A155_Baikal_Fw	Cercozoa
AY642743_clone_A51_Vampy	Cercozoa
AY620291_clone_10_3_2_Vampy	Cercozoa
EF024716_clone_Elev_18S_1206_Vampy	Cercozoa
EU567265_clone_ihs12_Vampy	Cercozoa
EU567262_clone_DB270305_Vampy	Cercozoa
EU567266_clone_lb10_Vampy	Cercozoa
AF372743_clone_LEMD004_Vampy	Cercozoa
NVam1_NRRA_isolate_North_Carolina_Br	Cercozoa
GU479951_clone_PR4_3E_90_Vampy	Cercozoa
AF310898_Polymyxa_graminis	Cercozoa
FN690466_clone_1D9_Phyto	Cercozoa
AF310899_Spongospora_sub_subterranea	Cercozoa
AB526843_Plasmodiophora_brassicae_NGY	Cercozoa
EF024345_clone_Elev_18S_763_Phyto	Cercozoa
AF310901_Spongospora_sub_nasturtii	Cercozoa
EU910610_clone_D20_Phyto	Cercozoa
AB191412_clone_TAGIRI04_Phyto	Cercozoa
AB252759_clone_NAMAKO19_Phyto	Cercozoa
AF405547_Maullinia_ectocarpii	Cercozoa
AF310903_Phagomyxa_bellerocheae	Cercozoa
AB191413_clone_TAGIRI05_Phyto	Cercozoa
EU567271_clone_jj9_NC9	Cercozoa
AY620362_clone_0745_NC9	Cercozoa
EU567272_clone_nh6_NC9	Cercozoa
EU567270_clone_vm17_Endo1	Cercozoa
U20319_Minchinia_teredinis1991	Cercozoa
AY449711_Minchinia_chitonis	Cercozoa
EF165631_Minchinia_sp_DB2006	Cercozoa
FJ518816_Minchinia_mercenariae	Cercozoa
AY449710_Minchinia_tapetis	Cercozoa
JF495410_Bonamia_exitiosa	Cercozoa
AF262995_Bonamia_ostreae	Cercozoa
DQ653412_Pvann_Xparasite	Cercozoa
U19538_Haplosporidium_nelsoni	Cercozoa
AY449713_Haplosporidium_lusitanicum	Cercozoa
DQ219484_Haplosporidium_montforti	Cercozoa
DQ458793_Haplosporidium_edule	Cercozoa
AF387122_Haplosporidium_costale	Cercozoa
AY781176_Haplosporidium_sp_MYE2005	Cercozoa
DQ444238_Snipp_Xparasite	Cercozoa
U47852_Urosporidium_crescens	Cercozoa
AY449714_Slari_Xparasite	Cercozoa
